,mean_output
1,-18.17
2,-14.947
3,-14.059
4,-13.429
5,-12.54
6,-11.577
7,-10.725
8,-10.096
9,-9.614
10,-8.836
11,-7.985
12,-7.318
13,-6.799
14,-6.096
15,-4.985
16,-3.651
17,-2.614
18,-2.133
19,-2.096
20,-2.17
21,-2.133
22,-1.947
23,-1.762
24,-1.577
25,-1.503
26,-1.392
27,-0.985
28,-1.503
29,3.867
30,16.238
31,-13.762
32,-10.614
33,-9.577
34,-8.873
35,-7.947
36,-6.91
37,-6.244
38,-5.836
39,-5.466
40,-4.614
41,-3.688
42,-3.022
43,-2.54
44,-2.022
45,-2.244
46,-2.614
47,-2.281
48,-0.429
49,1.423
50,2.275
51,2.312
52,2.608
53,3.053
54,3.46
55,3.534
56,3.497
57,3.867
58,3.238
59,9.497
60,24.238
61,-8.873
62,-5.503
63,-4.355
64,-3.466
65,-2.429
66,-1.318
67,-0.799
68,-0.54
69,-0.244
70,0.46
71,0.608
72,0.756
73,1.904
74,1.09
75,-4.318
76,-10.873
77,-10.096
78,-2.429
79,5.164
80,7.83
81,7.793
82,8.164
83,8.608
84,9.09
85,9.201
86,9.201
87,9.719
88,9.201
89,14.534
90,27.719
91,-3.873
92,-0.318
93,1.015
94,1.941
95,2.978
96,4.09
97,4.83
98,5.312
99,5.682
100,6.238
101,2.904
102,-0.873
103,-2.355
104,-4.096
105,-10.651
106,-17.503
107,-12.688
108,0.164
109,9.571
110,9.349
111,7.386
112,8.941
113,12.386
114,14.645
115,14.608
116,14.682
117,15.312
118,14.793
119,19.201
120,32.682
121,1.053
122,4.941
123,6.534
124,7.534
125,8.534
126,9.608
127,10.164
128,10.127
129,10.386
130,9.534
131,0.682
132,-10.873
133,-19.577
134,-24.355
135,-29.096
136,-31.17
137,-20.503
138,-5.355
139,2.719
140,-2.318
141,-6.503
142,-1.318
143,9.941
144,18.015
145,19.497
146,19.756
147,20.534
148,20.053
149,24.534
150,39.053
151,6.201
152,10.275
153,12.053
154,13.127
155,13.978
156,15.09
157,12.904
158,6.867
159,2.83
160,-1.651
161,-12.244
162,-28.059
163,-40.577
164,-45.466
165,-45.836
166,-42.429
167,-32.54
168,-23.281
169,-20.503
170,-26.466
171,-30.688
172,-19.91
173,1.053
174,19.238
175,25.09
176,25.349
177,25.904
178,25.608
179,29.756
180,43.83
181,11.608
182,15.719
183,17.608
184,18.83
185,19.793
186,19.756
187,11.09
188,-5.207
189,-18.392
190,-27.577
191,-35.207
192,-47.725
193,-57.725
194,-62.17
195,-62.096
196,-59.503
197,-55.281
198,-51.985
199,-51.059
200,-52.577
201,-53.022
202,-36.873
203,-9.133
204,16.645
205,28.127
206,29.904
207,31.571
208,31.571
209,35.09
210,47.534
211,17.201
212,21.349
213,23.164
214,23.201
215,22.682
216,19.756
217,3.201
218,-22.54
219,-44.466
220,-54.985
221,-57.873
222,-64.392
223,-67.985
224,-69.688
225,-69.022
226,-68.91
227,-70.133
228,-71.91
229,-73.059
230,-71.022
231,-67.873
232,-52.725
233,-27.762
234,-1.688
235,17.238
236,26.756
237,34.904
238,37.46
239,41.719
240,53.386
241,23.164
242,27.015
243,26.941
244,20.423
245,10.719
246,1.053
247,-17.244
248,-39.799
249,-60.947
250,-68.651
251,-68.836
252,-70.873
253,-70.762
254,-70.207
255,-68.17
256,-68.54
257,-71.651
258,-75.281
259,-79.207
260,-78.762
261,-75.614
262,-65.355
263,-49.429
264,-32.059
265,-11.429
266,7.756
267,26.423
268,35.793
269,44.015
270,56.164
271,29.312
272,32.275
273,25.312
274,7.534
275,-14.207
276,-28.725
277,-43.059
278,-55.503
279,-66.54
280,-66.725
281,-63.651
282,-65.022
283,-66.059
284,-67.355
285,-65.133
286,-65.318
287,-68.836
288,-74.022
289,-79.762
290,-80.54
291,-79.429
292,-75.651
293,-69.54
294,-60.096
295,-41.651
296,-19.54
297,2.015
298,14.053
299,27.312
300,47.83
301,35.053
302,38.275
303,29.756
304,8.867
305,-20.133
306,-42.762
307,-57.17
308,-64.059
309,-67.244
310,-65.577
311,-61.429
312,-61.17
313,-59.91
314,-59.466
315,-56.91
316,-59.244
317,-65.022
318,-70.503
319,-74.207
320,-73.207
321,-72.244
322,-71.91
323,-72.022
324,-68.91
325,-58.836
326,-42.947
327,-27.688
328,-15.836
329,4.386
330,36.645
331,41.312
332,44.904
333,33.09
334,8.127
335,-23.096
336,-47.133
337,-60.022
338,-66.651
339,-67.503
340,-66.799
341,-63.985
342,-62.836
343,-60.54
344,-56.207
345,-52.651
346,-53.503
347,-58.836
348,-63.022
349,-61.91
350,-59.022
351,-58.614
352,-62.873
353,-66.725
354,-65.577
355,-60.355
356,-52.688
357,-46.392
358,-40.244
359,-20.318
360,20.09
361,41.238
362,42.312
363,33.275
364,12.719
365,-15.281
366,-41.318
367,-54.688
368,-64.281
369,-68.133
370,-69.836
371,-68.466
372,-66.725
373,-62.947
374,-54.762
375,-49.577
376,-50.133
377,-55.577
378,-59.355
379,-54.985
380,-49.577
381,-48.54
382,-55.503
383,-63.577
384,-65.392
385,-63.059
386,-58.947
387,-54.54
388,-50.207
389,-32.873
390,5.053
391,39.978
392,31.053
393,12.719
394,-10.985
395,-34.392
396,-52.503
397,-59.059
398,-65.392
399,-68.651
400,-69.281
401,-68.392
402,-67.836
403,-65.688
404,-57.429
405,-51.836
406,-49.614
407,-53.022
408,-56.836
409,-54.207
410,-50.725
411,-51.244
412,-59.503
413,-67.133
414,-68.91
415,-66.873
416,-65.244
417,-60.429
418,-56.762
419,-43.725
420,-9.985
421,44.46
422,26.238
423,-2.985
424,-31.244
425,-49.54
426,-59.54
427,-61.91
428,-63.392
429,-65.392
430,-65.54
431,-66.133
432,-67.022
433,-67.207
434,-63.836
435,-60.17
436,-57.096
437,-58.281
438,-59.91
439,-58.54
440,-55.392
441,-55.355
442,-60.91
443,-67.651
444,-71.947
445,-73.651
446,-75.059
447,-72.836
448,-69.985
449,-55.985
450,-21.651
451,55.867
452,31.719
453,-9.17
454,-46.466
455,-63.355
456,-66.096
457,-64.466
458,-61.17
459,-61.429
460,-63.429
461,-66.429
462,-68.281
463,-68.91
464,-67.355
465,-66.466
466,-65.096
467,-65.54
468,-64.429
469,-62.873
470,-61.614
471,-60.799
472,-63.392
473,-67.799
474,-72.91
475,-75.318
476,-77.392
477,-78.318
478,-77.503
479,-62.614
480,-27.577
481,64.201
482,39.423
483,-5.244
484,-47.022
485,-65.799
486,-67.614
487,-65.096
488,-60.799
489,-60.207
490,-61.985
491,-64.429
492,-64.614
493,-66.836
494,-68.985
495,-71.466
496,-71.281
497,-67.059
498,-62.355
499,-62.022
500,-63.022
501,-61.096
502,-59.355
503,-65.207
504,-73.318
505,-76.133
506,-77.17
507,-78.17
508,-77.577
509,-62.503
510,-30.985
511,49.386
512,19.201
513,-18.91
514,-47.577
515,-63.466
516,-67.91
517,-67.133
518,-64.355
519,-63.355
520,-63.318
521,-62.429
522,-61.91
523,-66.096
524,-70.466
525,-72.836
526,-73.651
527,-69.836
528,-68.17
529,-70.207
530,-69.096
531,-61.355
532,-53.429
533,-57.392
534,-66.133
535,-68.614
536,-68.54
537,-66.244
538,-63.392
539,-49.985
540,-23.614
541,23.83
542,-11.466
543,-41.429
544,-56.133
545,-66.947
546,-72.207
547,-72.799
548,-70.429
549,-68.355
550,-65.244
551,-61.651
552,-59.725
553,-64.244
554,-69.873
555,-72.318
556,-72.799
557,-68.762
558,-66.91
559,-69.54
560,-68.281
561,-62.762
562,-54.17
563,-53.244
564,-56.022
565,-57.17
566,-56.799
567,-51.577
568,-42.614
569,-30.022
570,-9.281
571,4.497
572,-31.466
573,-55.688
574,-64.873
575,-72.985
576,-76.762
577,-75.17
578,-71.096
579,-69.873
580,-67.133
581,-61.355
582,-55.91
583,-57.503
584,-65.133
585,-71.54
586,-74.947
587,-75.244
588,-74.688
589,-74.207
590,-67.688
591,-60.873
592,-52.577
593,-48.91
594,-49.503
595,-53.096
596,-52.836
597,-44.244
598,-33.244
599,-26.022
600,-15.096
601,6.571
602,-27.281
603,-51.688
604,-63.54
605,-69.91
606,-69.651
607,-65.762
608,-62.281
609,-61.651
610,-60.281
611,-57.947
612,-52.392
613,-51.133
614,-57.947
615,-68.466
616,-72.096
617,-70.762
618,-65.799
619,-62.577
620,-58.503
621,-59.577
622,-59.651
623,-55.873
624,-54.022
625,-57.651
626,-58.466
627,-48.318
628,-34.318
629,-28.244
630,-23.17
631,-5.022
632,-30.429
633,-50.503
634,-61.281
635,-63.873
636,-60.096
637,-52.54
638,-51.059
639,-53.318
640,-57.54
641,-57.651
642,-52.577
643,-51.503
644,-59.096
645,-71.651
646,-74.614
647,-71.429
648,-63.91
649,-59.207
650,-57.022
651,-60.614
652,-64.947
653,-64.429
654,-66.466
655,-72.318
656,-75.207
657,-66.392
658,-55.096
659,-50.947
660,-48.725
661,-30.17
662,-46.577
663,-60.022
664,-65.392
665,-63.799
666,-58.503
667,-52.133
668,-53.355
669,-55.614
670,-59.392
671,-61.17
672,-58.836
673,-61.133
674,-66.577
675,-76.466
676,-77.392
677,-72.614
678,-64.17
679,-59.651
680,-60.318
681,-66.392
682,-73.466
683,-75.466
684,-78.725
685,-82.873
686,-86.91
687,-82.429
688,-73.614
689,-67.651
690,-62.059
691,-63.688
692,-69.429
693,-73.985
694,-75.059
695,-73.429
696,-71.17
697,-66.318
698,-65.651
699,-65.762
700,-67.096
701,-66.429
702,-64.577
703,-68.985
704,-75.725
705,-83.762
706,-85.577
707,-80.392
708,-73.059
709,-68.799
710,-70.503
711,-76.244
712,-82.91
713,-86.651
714,-89.799
715,-92.281
716,-94.762
717,-92.91
718,-86.651
719,-80.355
720,-73.133
721,-76.429
722,-79.392
723,-81.133
724,-81.91
725,-83.392
726,-83.429
727,-79.577
728,-75.059
729,-72.873
730,-71.725
731,-73.17
732,-74.096
733,-78.207
734,-83.392
735,-89.688
736,-91.059
737,-84.096
738,-77.133
739,-75.318
740,-79.91
741,-85.392
742,-90.281
743,-92.429
744,-94.466
745,-95.133
746,-95.651
747,-92.762
748,-87.17
749,-81.651
750,-74.096
751,-79.207
752,-85.318
753,-86.725
754,-86.725
755,-88.318
756,-88.91
757,-84.244
758,-78.059
759,-75.836
760,-74.688
761,-74.985
762,-73.762
763,-75.244
764,-82.281
765,-90.54
766,-92.577
767,-84.096
768,-77.355
769,-77.318
770,-83.762
771,-89.688
772,-92.503
