,mean_output
1,-14.947
2,-18.614
3,-22.947
4,-31.318
5,-43.355
6,-55.762
7,-62.836
8,-66.947
9,-60.022
10,-33.836
11,-16.318
12,-23.947
13,-43.466
14,-47.17
15,-39.281
16,-41.133
17,-45.54
18,-46.355
19,-44.985
20,-48.762
21,-54.466
22,-62.614
23,-72.059
24,-80.799
25,-83.318
26,-78.688
27,-71.281
28,-67.133
29,-70.614
30,-78.799
31,-26.725
32,-30.799
33,-38.318
34,-50.429
35,-62.54
36,-68.54
37,-66.799
38,-62.392
39,-53.133
40,-33.577
41,-20.614
42,-31.577
43,-48.873
44,-55.688
45,-50.355
46,-53.688
47,-55.614
48,-49.836
49,-39.54
50,-38.244
51,-40.762
52,-45.985
53,-50.133
54,-55.281
55,-57.022
56,-54.873
57,-50.133
58,-46.91
59,-52.762
60,-66.54
61,-43.133
62,-50.503
63,-59.54
64,-68.355
65,-71.059
66,-64.244
67,-52.577
68,-42.429
69,-34.096
70,-25.54
71,-23.096
72,-34.725
73,-41.985
74,-41.022
75,-33.873
76,-38.429
77,-43.355
78,-42.355
79,-36.17
80,-35.614
81,-35.688
82,-36.466
83,-36.318
84,-38.17
85,-36.985
86,-32.985
87,-28.985
88,-29.244
89,-38.91
90,-55.91
91,-60.985
92,-67.466
93,-72.133
94,-70.355
95,-60.392
96,-44.577
97,-27.836
98,-17.54
99,-15.096
100,-20.244
101,-28.318
102,-33.355
103,-26.91
104,-15.873
105,-8.91
106,-14.207
107,-20.244
108,-20.133
109,-17.985
110,-23.022
111,-30.799
112,-37.651
113,-35.836
114,-31.614
115,-27.577
116,-25.429
117,-25.54
118,-24.799
119,-29.614
120,-41.91
121,-70.985
122,-70.91
123,-65.059
124,-52.651
125,-34.096
126,-16.651
127,-2.91
128,0.571
129,-4.133
130,-15.688
131,-28.985
132,-31.429
133,-22.688
134,-7.429
135,0.201
136,-1.355
137,-7.873
138,-9.614
139,-7.985
140,-11.466
141,-20.392
142,-33.096
