,mean_output
1,40.418
2,34.093
3,36.19
4,35.51
5,34.397
6,32.096
7,34.158
8,33.5
9,31.023
10,26.865
11,26.584
12,28.759
13,28.467
14,22.893
15,14.842
16,10.072
17,9.23
18,9.782
19,9.558
20,12.209
21,13.256
22,15.38
23,18.89
24,24.973
25,30.809
26,33.027
27,33.861
28,34.401
29,34.636
30,34.743
31,34.933
32,35.184
33,35.234
34,35.172
35,35.121
36,35.234
37,35.384
38,35.549
39,35.481
40,35.321
41,35.122
42,35.034
43,35.073
44,35.142
45,35.247
46,35.302
47,35.261
48,35.257
49,35.251
50,35.357
51,35.425
52,35.338
53,35.287
54,35.207
55,35.247
56,35.183
57,35.132
58,35.123
59,35.064
60,35.069
61,35.098
62,35.238
63,35.308
64,35.294
65,35.219
66,35.092
67,35.002
68,35.042
69,35.183
70,35.233
71,35.252
72,35.239
73,35.323
74,35.371
75,35.347
76,35.242
77,35.251
78,35.431
79,35.687
80,35.691
81,35.533
82,35.314
83,35.154
84,35.064
85,35.063
86,35.114
87,35.124
88,35.282
89,35.473
90,35.538
91,35.426
92,35.294
93,35.278
94,35.225
95,35.111
96,35.088
97,35.085
98,35.129
99,35.101
100,35.114
101,35.184
102,35.269
103,35.191
104,35.108
105,35.131
106,35.234
107,35.272
108,35.167
109,35.127
110,35.136
111,36.389
112,38.888
113,40.084
114,38.465
115,37.0
116,36.187
117,36.608
118,35.486
119,34.958
120,34.826
121,34.79
122,34.9
123,35.065
124,35.301
125,35.247
126,35.134
127,34.977
128,35.053
129,35.037
130,35.031
131,34.884
132,34.935
133,35.117
134,35.392
135,35.443
136,35.275
137,35.08
138,34.887
139,34.773
140,34.745
141,34.891
142,35.035
143,35.078
144,34.958
145,34.881
146,34.905
147,35.071
148,35.139
149,35.113
150,35.104
151,34.862
152,34.757
153,34.702
154,34.886
155,34.906
156,34.77
157,34.867
158,35.057
159,37.124
160,40.49
161,45.488
162,45.746
163,37.352
164,31.864
165,37.809
166,48.459
167,49.632
168,41.671
169,36.028
170,35.252
171,35.132
172,35.023
173,34.917
174,34.789
175,34.776
176,34.815
177,34.803
178,34.96
179,35.099
180,35.13
181,35.315
182,35.651
183,35.99
184,35.947
185,35.689
186,35.749
187,36.965
188,39.281
189,41.571
190,41.376
191,37.833
192,33.65
193,30.537
194,30.962
195,33.319
196,36.555
197,38.425
198,38.331
199,37.106
200,35.657
201,34.676
202,34.321
203,34.378
204,34.51
205,34.569
206,34.514
207,34.378
208,34.328
209,34.291
210,34.249
211,34.194
212,34.249
213,34.258
214,34.08
215,33.86
216,33.753
217,33.863
218,33.906
219,33.868
220,33.74
221,33.771
222,39.011
223,32.599
224,20.933
225,23.621
226,24.771
227,25.966
228,24.541
229,27.307
230,28.023
231,26.279
232,22.296
233,22.499
234,29.102
235,32.278
236,28.142
237,17.067
238,9.047
239,6.37
240,6.758
241,7.107
242,9.441
243,10.426
244,12.267
245,15.523
246,19.895
247,22.557
248,21.001
249,19.937
250,20.142
251,20.588
252,20.705
253,20.831
254,20.909
255,20.855
256,20.727
257,20.582
258,20.491
259,20.493
260,20.613
261,20.595
262,20.447
263,20.264
264,20.163
265,20.198
266,20.205
267,20.278
268,20.287
269,20.284
270,20.298
271,20.309
272,20.321
273,20.336
274,20.264
275,20.326
276,20.33
277,20.389
278,20.245
279,20.153
280,20.192
281,20.233
282,20.268
283,20.23
284,20.331
285,20.393
286,20.397
287,20.373
288,20.296
