,mean_output
1,0.0
2,0.0
3,0.0
4,0.0
5,0.0
6,0.0
7,0.0
8,0.0
9,0.0
10,0.0
11,0.0
12,0.0
13,0.0
14,0.0
15,0.0
16,0.0
17,0.0
18,0.0
19,0.0
20,0.0
21,0.0
22,0.0
23,0.0
24,0.0
25,0.0
26,0.0
27,0.0
28,0.0
29,0.0
30,0.0
31,0.0
32,0.0
33,0.0
34,0.0
35,0.0
36,0.0
37,0.0
38,0.0
39,0.0
40,0.0
41,0.0
42,0.0
43,0.0
44,0.0
45,0.0
46,0.0
47,0.0
48,0.0
49,0.0
50,0.0
51,0.0
52,0.0
53,0.0
54,0.0
55,0.0
56,0.0
57,0.0
58,0.0
59,0.0
60,0.0
61,0.0
62,0.0
63,0.0
64,0.0
65,0.0
66,0.0
67,0.0
68,0.0
69,0.0
70,0.0
71,0.0
72,0.0
73,0.0
74,0.0
75,0.0
76,0.0
77,0.0
78,0.0
79,0.0
80,0.0
81,0.0
82,0.0
83,0.0
84,0.0
85,0.0
86,0.0
87,0.0
88,0.0
89,0.0
90,0.0
91,0.0
92,0.0
93,0.0
94,0.0
95,0.0
96,0.0
97,0.0
98,0.0
99,0.0
100,0.0
101,0.0
102,0.0
103,0.0
104,0.0
105,0.0
106,0.0
107,0.0
108,0.0
109,0.0
110,0.0
111,0.0
112,0.0
113,0.0
114,-0.883
115,-5.254
116,-9.096
117,-8.117
118,-7.637
119,-8.054
120,-7.679
121,-8.054
122,-8.533
123,-8.492
124,-7.262
125,-6.679
126,-6.825
127,-7.054
128,-7.554
129,-6.596
130,-2.533
131,-0.883
132,-2.817
133,-4.137
134,-3.908
135,-3.992
136,-4.242
137,-4.408
138,-4.742
139,-4.762
140,-3.783
141,-3.471
142,-3.429
143,-3.554
144,-3.804
145,-2.471
146,-1.617
147,-2.346
148,-3.137
149,-3.012
150,-0.833
151,-0.15
152,-0.346
153,1.904
154,1.529
155,0.3
156,1.217
157,3.571
158,4.988
159,4.071
160,3.842
161,5.321
162,5.988
163,4.383
164,2.675
165,1.883
166,1.55
167,3.821
168,5.817
169,5.0
170,4.321
171,4.008
172,4.488
173,3.821
174,2.529
175,2.675
176,3.05
177,2.842
178,2.279
179,2.363
180,2.383
181,1.842
182,1.633
183,1.592
184,1.425
185,1.383
186,1.217
187,0.65
188,0.233
189,-0.033
190,-0.554
191,-1.325
192,-1.387
193,-1.742
194,-1.992
195,-1.575
196,-1.512
197,-2.096
198,-2.658
199,-2.887
200,-3.158
201,-3.158
202,-3.45
203,-3.658
204,-3.887
205,-4.262
206,-4.4
207,-4.8
208,-5.408
209,-5.367
210,-5.346
211,-6.012
212,-6.95
213,-7.283
214,-7.221
215,-7.512
216,-8.033
217,-8.325
218,-8.908
219,-9.492
220,-9.596
221,-10.471
222,-11.742
223,-13.408
224,-5.847
225,0.0
226,-2.858
227,-15.95
228,-27.412
229,-27.975
230,-27.079
231,-26.454
232,-25.766
233,-25.704
