,mean_output
1,0.0
2,0.0
3,0.0
4,0.0
5,0.0
6,0.0
7,0.0
8,0.0
9,0.0
10,0.0
11,0.0
12,0.0
13,0.0
14,0.0
15,0.0
16,0.0
17,0.0
18,0.0
19,0.0
20,0.0
21,0.0
22,0.0
23,0.0
24,0.0
25,0.0
26,0.0
27,0.0
28,0.0
29,0.0
30,0.0
31,0.0
32,0.0
33,0.0
34,0.0
35,0.0
36,0.0
37,0.0
38,0.0
39,0.0
40,0.0
41,0.0
42,0.0
43,0.0
44,0.0
45,0.0
46,0.0
47,0.0
48,0.0
49,0.0
50,0.0
51,0.0
52,0.0
53,0.0
54,0.0
55,0.0
56,0.0
57,0.0
58,0.0
59,0.0
60,0.0
61,0.0
62,0.0
63,0.0
64,0.0
65,0.0
66,0.0
67,0.0
68,0.0
69,0.0
70,0.0
71,0.0
72,0.0
73,0.0
74,0.0
75,0.0
76,0.0
77,0.0
78,0.0
79,0.0
80,0.0
81,0.0
82,0.0
83,0.0
84,0.0
85,0.0
86,0.0
87,0.0
88,0.0
89,0.0
90,0.0
91,0.0
92,0.0
93,0.0
94,0.0
95,0.0
96,0.0
97,0.0
98,0.0
99,0.0
100,0.0
101,0.0
102,0.0
103,0.0
104,0.0
105,0.0
106,0.0
107,0.0
108,0.0
109,0.0
110,0.0
111,0.0
112,0.0
113,0.0
114,0.057
115,0.172
116,0.23
117,0.232
118,0.236
119,0.238
120,0.226
121,0.097
122,0.048
123,0.175
124,0.232
125,0.229
126,0.229
127,0.229
128,0.229
129,0.227
130,0.23
131,0.231
132,0.229
133,0.222
134,0.213
135,0.206
136,0.207
137,0.208
138,0.204
139,0.202
140,0.201
141,0.201
142,0.208
143,0.101
144,0.054
145,0.165
146,0.21
147,0.208
148,0.206
149,0.206
150,0.177
151,0.174
152,0.203
153,0.213
154,0.212
155,0.201
156,0.202
157,0.209
158,0.204
159,0.195
160,0.204
161,0.213
162,0.205
163,0.204
164,0.21
165,0.08
166,0.017
167,0.148
168,0.201
169,0.201
170,0.208
171,0.202
172,0.199
173,0.204
174,0.193
175,0.189
176,0.191
177,0.19
178,0.199
179,0.202
180,0.203
181,0.204
182,0.201
183,0.201
184,0.198
185,0.194
186,0.189
187,0.072
188,0.073
189,0.185
190,0.191
191,0.198
192,0.191
193,0.186
194,0.189
195,0.188
196,0.179
197,0.173
198,0.169
199,0.178
200,0.194
201,0.194
202,0.195
203,0.197
204,0.199
205,0.201
206,0.199
207,0.195
208,0.098
209,-0.0
210,0.09
211,0.19
212,0.189
213,0.183
214,0.195
215,0.202
216,0.194
217,0.19
218,0.187
219,0.189
220,0.19
221,0.188
222,0.191
223,0.197
224,0.08
225,0.0
226,0.172
227,0.517
228,0.689
229,0.692
230,0.697
231,0.7
232,0.675
233,0.286
234,0.116
235,0.5
236,0.689
237,0.688
238,0.687
239,0.687
240,0.689
241,0.689
242,0.691
243,0.694
244,0.686
245,0.666
246,0.646
247,0.633
