,mean_output
1,46.136
2,37.279
3,37.279
4,37.402
5,37.75
6,38.288
7,38.573
8,38.591
9,38.48
10,38.606
11,47.042
12,59.032
13,54.011
14,57.842
15,54.686
16,59.387
17,46.983
18,37.773
19,37.519
20,37.276
21,37.225
22,37.272
23,37.221
24,37.208
25,37.357
26,37.638
27,37.696
28,37.669
29,37.729
30,38.06
31,38.299
32,38.38
33,38.344
34,38.351
35,38.622
36,38.758
37,38.778
38,38.287
39,37.454
40,36.775
41,36.656
42,36.909
43,36.963
44,36.662
45,36.59
46,36.599
47,36.417
48,36.098
49,35.843
50,35.892
51,35.994
52,36.1
53,36.222
54,36.405
55,37.207
56,43.081
57,57.132
58,54.24
59,60.879
60,54.63
61,57.061
62,44.873
63,37.319
64,37.308
65,37.058
66,36.777
67,36.738
68,36.522
69,36.586
70,36.895
71,37.104
72,37.629
73,37.478
74,37.274
75,36.387
76,36.002
77,36.303
78,36.824
79,37.224
80,37.535
81,37.613
82,37.628
83,37.44
84,37.267
85,36.977
86,36.809
87,36.648
88,36.798
89,37.107
90,37.545
91,37.463
92,37.416
93,37.693
94,38.282
95,38.782
96,38.446
97,38.172
98,38.039
99,38.018
100,37.898
101,48.439
102,56.424
103,48.934
104,46.322
105,46.026
106,53.351
107,44.816
108,37.043
109,36.71
110,36.402
111,36.237
112,36.818
113,37.506
114,37.736
115,37.19
116,36.923
117,36.931
118,37.415
119,37.544
120,37.626
121,37.678
122,37.524
123,37.2
124,37.192
125,37.226
126,37.54
127,37.384
128,37.482
129,37.495
130,37.61
131,37.678
132,37.648
133,37.757
134,37.968
135,37.978
136,37.892
137,37.515
138,37.206
139,36.845
140,36.718
141,36.868
142,37.327
143,38.033
144,38.719
145,38.802
146,44.361
147,58.404
148,56.491
149,64.193
150,52.412
151,54.496
152,40.672
153,37.656
154,37.078
155,37.157
156,37.382
157,37.31
158,36.782
159,36.518
160,36.687
161,37.253
162,37.349
163,37.014
164,36.599
165,36.306
166,36.44
167,36.991
168,37.685
169,41.46
170,46.147
171,51.31
172,49.364
173,44.681
174,39.433
175,37.987
176,37.545
177,37.331
178,37.308
179,37.671
180,37.72
181,37.882
182,37.907
183,38.122
184,37.905
185,37.628
186,37.096
187,36.715
188,36.621
189,36.729
190,37.11
191,52.728
192,63.908
193,71.853
194,67.727
195,57.453
196,49.329
197,37.92
198,36.864
199,36.789
200,37.034
201,37.506
202,37.704
203,37.845
204,38.112
205,38.439
206,38.017
207,37.587
208,37.049
209,37.076
210,36.68
211,36.784
212,36.59
213,39.627
214,44.346
215,50.384
216,51.756
217,47.133
218,40.893
219,36.612
220,36.513
221,37.206
222,47.195
223,32.995
224,17.527
225,17.527
226,17.675
227,17.974
228,18.427
229,18.739
230,19.01
231,19.337
232,20.019
233,34.371
234,55.081
235,57.403
236,63.938
237,58.666
238,55.277
239,33.942
240,17.776
241,17.699
242,17.58
243,17.529
244,17.568
245,17.594
246,17.636
247,17.682
248,17.825
249,17.946
250,18.116
251,18.264
252,18.524
253,18.692
254,18.789
255,18.789
256,18.905
257,19.486
258,20.096
259,20.315
260,19.873
261,19.183
262,18.83
263,18.927
264,19.446
265,19.847
266,19.746
267,19.672
268,19.738
269,19.842
270,19.71
271,19.512
272,19.499
273,19.488
274,19.463
275,19.544
276,19.672
277,20.5
278,30.544
279,52.346
280,55.397
281,65.576
282,56.274
283,52.496
284,32.404
285,19.991
286,20.073
287,19.954
288,19.775
289,19.847
290,19.785
291,20.148
292,20.715
293,21.268
294,21.754
295,21.473
296,21.119
297,20.36
298,20.064
299,20.164
300,20.532
301,21.261
302,22.134
303,22.695
304,22.723
305,21.964
306,21.094
307,20.321
308,20.221
309,20.16
310,20.166
311,20.28
312,20.829
313,21.184
314,21.42
315,21.802
316,22.092
317,22.439
318,21.842
319,21.772
320,21.992
321,22.371
322,22.114
323,39.003
324,53.888
325,52.934
326,51.098
327,49.543
328,50.695
329,34.87
330,21.217
331,20.664
332,20.366
333,20.448
334,21.17
335,21.916
336,22.145
337,21.466
338,21.13
339,20.857
340,21.158
341,21.097
342,21.165
343,21.393
344,21.546
345,21.683
346,22.934
347,25.091
348,26.963
349,26.345
350,24.136
351,22.03
352,21.147
353,21.087
354,21.21
355,21.495
356,21.818
357,21.885
358,21.729
359,21.216
360,20.803
361,20.376
362,20.317
363,20.418
364,20.812
365,21.348
366,21.928
367,22.142
368,32.665
369,55.383
370,60.422
371,71.708
372,54.551
373,49.835
374,27.925
375,22.131
376,21.826
377,22.065
378,22.493
379,22.528
380,21.963
381,21.557
382,21.429
383,21.837
384,21.849
385,21.663
386,21.296
387,21.093
388,21.266
389,22.167
390,24.512
391,34.014
392,41.384
393,50.366
394,45.374
395,37.535
396,26.534
397,22.304
398,22.058
399,21.997
400,21.832
401,22.117
402,22.361
403,22.675
404,22.561
405,22.469
406,21.9
407,21.64
408,21.211
409,21.152
410,21.259
411,21.509
412,21.924
413,45.292
414,65.385
415,82.109
416,77.715
417,60.029
418,43.102
419,23.996
420,21.244
421,21.032
422,21.207
423,21.516
424,21.669
425,21.676
426,21.672
427,21.826
428,21.645
429,21.655
430,21.509
431,21.815
432,21.629
433,21.735
434,21.371
